customer_id,customer_name,city,state,registration_date,customer_segment
CUS000079,Ananya Singh,Mumbai,Delhi,2024-06-18,Enterprise
CUS000080,Vikram Gupta,Kolkata,Karnataka,2024-05-25,Business
CUS000081,Vivaan Malhotra,Ahmedabad,Tamil Nadu,2024-03-18,Enterprise
CUS000082,Simran Malhotra,Jaipur,Rajasthan,2025-08-06,Enterprise
CUS000083,Vivaan Kapoor,Mumbai,West Bengal,2024-07-24,Retail
CUS000084,Priya Kapoor,Jaipur,Gujarat,2022-03-22,Enterprise
CUS000085,Sneha Kapoor,Pune,Karnataka,2023-08-20,Business
CUS000086,Sneha Verma,Hyderabad,West Bengal,2022-12-07,Business
CUS000087,Ishita Malhotra,Pune,Rajasthan,2022-10-19,Business
CUS000088,Karan Patel,Jaipur,Maharashtra,2023-01-04,Enterprise
CUS000089,Pooja Jain,Ahmedabad,Gujarat,2023-10-25,Business
CUS000090,Aarav Jain,Kolkata,Uttar Pradesh,2025-12-30,Retail
CUS000091,Karan Patel,Hyderabad,Tamil Nadu,2025-11-17,Enterprise
CUS000092,Rohan Patel,Mumbai,Maharashtra,2025-12-17,Business
CUS000093,Meera Patel,Jaipur,Gujarat,2026-01-28,Enterprise
CUS000094,Amit Jain,Ahmedabad,Rajasthan,2024-02-19,Retail
CUS000095,Rohan Gupta,Lucknow,Delhi,2022-11-29,Retail
CUS000096,Rohan Sharma,Ahmedabad,Telangana,2023-09-26,Enterprise
CUS000097,Karan Verma,Delhi,Maharashtra,2022-09-27,Retail
CUS000098,Aarav Malhotra,Hyderabad,Maharashtra,2024-07-28,Business
CUS000099,Vikram Kapoor,Pune,Uttar Pradesh,2024-10-07,Retail
CUS000100,Ananya Malhotra,Kolkata,West Bengal,2024-04-19,Business
CUS000101,Aditya Malhotra,Lucknow,Maharashtra,2023-05-17,Enterprise
CUS000102,Neha Malhotra,Jaipur,Karnataka,2022-04-11,Retail
CUS000103,Rahul Sharma,Chennai,Maharashtra,2022-10-25,Retail
CUS000104,Simran Malhotra,Hyderabad,Tamil Nadu,2022-06-29,Retail
CUS000105,Arjun Mehta,Delhi,Delhi,2025-10-08,Business
CUS000106,Amit Malhotra,Lucknow,Rajasthan,2022-12-30,Business
CUS000107,Simran Gupta,Pune,Maharashtra,2023-09-05,Business
CUS000108,Meera Mehta,Mumbai,Gujarat,2025-02-01,Retail
CUS000109,Ishita Joshi,Delhi,Maharashtra,2025-11-23,Business
CUS000110,Kavya Kapoor,Ahmedabad,Rajasthan,2023-03-06,Enterprise
CUS000111,Ananya Malhotra,Pune,Maharashtra,2025-03-16,Enterprise
CUS000112,Nikhil Patel,Kolkata,Uttar Pradesh,2025-12-18,Business
CUS000113,Aisha Malhotra,Chennai,Telangana,2024-12-12,Enterprise
CUS000114,Amit Gupta,Delhi,Uttar Pradesh,2025-02-26,Business
CUS000115,Nikhil Joshi,Kolkata,Delhi,2025-06-02,Retail
CUS000116,Ishita Singh,Pune,Maharashtra,2022-02-19,Business
CUS000117,Arjun Singh,Lucknow,Gujarat,2024-04-27,Retail
CUS000118,Kavya Gupta,Jaipur,Karnataka,2022-01-24,Enterprise
CUS000119,Ananya Verma,Hyderabad,Maharashtra,2023-09-23,Business
CUS000120,Nikhil Kapoor,Chennai,Maharashtra,2022-08-22,Enterprise
CUS000121,Kavya Gupta,Ahmedabad,Uttar Pradesh,2025-06-15,Retail
CUS000122,Rohan Singh,Chennai,Tamil Nadu,2025-10-09,Business
CUS000123,Vikram Sharma,Delhi,West Bengal,2022-11-15,Enterprise
CUS000124,Karan Kapoor,Chennai,West Bengal,2024-04-27,Enterprise
CUS000125,Vivaan Kapoor,Hyderabad,Uttar Pradesh,2026-01-24,Enterprise
CUS000126,Kavya Kapoor,Jaipur,Maharashtra,2023-03-03,Enterprise
CUS000127,Kavya Gupta,Mumbai,Delhi,2023-07-29,Retail
CUS000128,Kavya Mehta,Jaipur,Delhi,2025-03-15,Enterprise
CUS000129,Sneha Jain,Lucknow,Maharashtra,2023-09-24,Enterprise
CUS000130,Kavya Sharma,Hyderabad,Gujarat,2022-06-27,Business
CUS000131,Priya Gupta,Kolkata,Telangana,2023-03-19,Enterprise
CUS000132,Ishita Jain,Mumbai,Tamil Nadu,2022-03-18,Retail
CUS000133,Aditya Joshi,Jaipur,Maharashtra,2024-09-15,Enterprise
CUS000134,Rahul Singh,Chennai,West Bengal,2026-02-09,Enterprise
CUS000135,Ishita Gupta,Delhi,Maharashtra,2024-11-23,Enterprise
CUS000136,Rahul Singh,Pune,West Bengal,2024-03-04,Enterprise
CUS000137,Nikhil Patel,Pune,Telangana,2022-04-01,Enterprise
CUS000138,Amit Patel,Chennai,West Bengal,2022-04-05,Retail
CUS000139,Nikhil Verma,Pune,Uttar Pradesh,2023-10-02,Enterprise
CUS000140,Ananya Gupta,Bengaluru,Karnataka,2023-08-10,Business
CUS000141,Pooja Gupta,Kolkata,Maharashtra,2023-07-13,Retail
CUS000142,Rohan Verma,Mumbai,Maharashtra,2025-06-29,Enterprise
CUS000143,Nikhil Patel,Bengaluru,Rajasthan,2023-12-19,Enterprise
CUS000144,Kavya Verma,Delhi,Telangana,2025-03-21,Retail
CUS000145,Rohan Patel,Hyderabad,Uttar Pradesh,2023-11-25,Enterprise
CUS000146,Karan Sharma,Delhi,Maharashtra,2024-08-22,Enterprise
CUS000147,Vivaan Patel,Ahmedabad,Maharashtra,2022-06-26,Business
CUS000148,Sneha Jain,Lucknow,Uttar Pradesh,2025-07-13,Enterprise
CUS000149,Karan Malhotra,Chennai,Telangana,2023-11-12,Retail
CUS000150,Pooja Patel,Kolkata,Uttar Pradesh,2022-09-27,Retail
CUS000151,Karan Patel,Kolkata,Telangana,2025-11-02,Enterprise
CUS000152,Karan Joshi,Bengaluru,Karnataka,2022-10-22,Enterprise
CUS000153,Neha Gupta,Ahmedabad,Delhi,2025-12-03,Enterprise
CUS000154,Kavya Gupta,Kolkata,West Bengal,2022-03-03,Retail
CUS000155,Vikram Patel,Chennai,West Bengal,2024-08-02,Retail
CUS000156,Ishita Gupta,Lucknow,Uttar Pradesh,2022-09-18,Enterprise
CUS000157,Arjun Mehta,Mumbai,Tamil Nadu,2025-02-12,Enterprise
CUS000158,Aditya Verma,Jaipur,West Bengal,2024-03-31,Enterprise
CUS000159,Aisha Singh,Lucknow,Karnataka,2025-01-27,Retail
CUS000160,Vikram Mehta,Mumbai,Tamil Nadu,2023-03-03,Enterprise
CUS000161,Simran Mehta,Ahmedabad,Uttar Pradesh,2023-12-02,Enterprise
CUS000162,Priya Jain,Mumbai,Uttar Pradesh,2024-09-23,Retail
CUS000163,Simran Malhotra,Kolkata,Tamil Nadu,2025-02-10,Retail
CUS000164,Karan Jain,Hyderabad,Gujarat,2022-05-23,Enterprise
CUS000165,Arjun Malhotra,Ahmedabad,Tamil Nadu,2024-10-09,Enterprise
CUS000166,Vivaan Patel,Bengaluru,Delhi,2025-04-04,Enterprise
CUS000167,Aarav Jain,Delhi,West Bengal,2024-12-24,Business
CUS000168,Sneha Malhotra,Lucknow,West Bengal,2023-02-05,Retail
CUS000169,Kavya Verma,Lucknow,Telangana,2024-06-09,Enterprise
CUS000170,Meera Patel,Lucknow,Maharashtra,2025-06-06,Enterprise
CUS000171,Sneha Jain,Hyderabad,Maharashtra,2024-01-27,Enterprise
CUS000172,Vivaan Sharma,Jaipur,Tamil Nadu,2022-08-13,Business
CUS000173,Aarav Singh,Ahmedabad,Uttar Pradesh,2024-03-18,Enterprise
CUS000174,Kavya Mehta,Ahmedabad,Gujarat,2024-06-10,Enterprise
CUS000175,Ananya Jain,Kolkata,Delhi,2023-01-21,Enterprise
CUS000176,Sneha Gupta,Ahmedabad,Delhi,2023-08-14,Enterprise
CUS000177,Rahul Jain,Pune,Maharashtra,2025-08-20,Retail
CUS000178,Rahul Joshi,Ahmedabad,Delhi,2022-06-23,Retail
CUS000179,Aisha Joshi,Lucknow,Gujarat,2025-06-30,Retail
CUS000180,Karan Kapoor,Ahmedabad,Rajasthan,2024-07-10,Business
CUS000181,Meera Singh,Delhi,Gujarat,2025-05-23,Retail
CUS000182,Simran Joshi,Bengaluru,Rajasthan,2023-07-06,Business
CUS000183,Pooja Malhotra,Chennai,Maharashtra,2022-03-19,Enterprise
CUS000184,Vikram Gupta,Mumbai,Uttar Pradesh,2024-09-13,Enterprise
CUS000185,Aditya Jain,Jaipur,Telangana,2024-08-10,Enterprise
CUS000186,Aditya Kapoor,Lucknow,Maharashtra,2023-05-18,Business
CUS000187,Aditya Kapoor,Lucknow,Telangana,2025-06-09,Retail
CUS000188,Kavya Kapoor,Pune,West Bengal,2024-07-18,Enterprise
CUS000189,Vikram Malhotra,Chennai,Gujarat,2023-12-24,Business
CUS000190,Ishita Jain,Pune,Uttar Pradesh,2023-09-15,Enterprise
CUS000191,Simran Verma,Pune,West Bengal,2025-03-30,Retail
CUS000192,Simran Sharma,Hyderabad,Uttar Pradesh,2022-02-25,Business
CUS000193,Vikram Patel,Delhi,Rajasthan,2022-06-07,Business
CUS000194,Neha Jain,Lucknow,Telangana,2023-07-18,Business
CUS000195,Aarav Patel,Lucknow,Delhi,2025-04-26,Enterprise
CUS000196,Rahul Joshi,Chennai,Delhi,2023-06-20,Enterprise
CUS000197,Priya Joshi,Delhi,Rajasthan,2022-03-09,Business
CUS000198,Aditya Jain,Lucknow,Delhi,2024-10-12,Business
CUS000199,Sneha Singh,Kolkata,Delhi,2023-03-08,Enterprise
CUS000200,Meera Sharma,Hyderabad,Maharashtra,2022-04-18,Retail
CUS000201,Karan Mehta,Kolkata,Telangana,2024-09-02,Enterprise
CUS000202,Pooja Singh,Ahmedabad,Gujarat,2024-08-29,Business
CUS000203,Rahul Kapoor,Ahmedabad,Maharashtra,2023-08-15,Business
CUS000204,Sneha Gupta,Jaipur,Maharashtra,2022-07-19,Enterprise
CUS000205,Meera Mehta,Lucknow,Telangana,2023-11-18,Business
CUS000206,Neha Patel,Hyderabad,Uttar Pradesh,2024-03-12,Business
CUS000207,Priya Malhotra,Bengaluru,Rajasthan,2023-11-23,Enterprise
CUS000208,Rohan Gupta,Jaipur,Maharashtra,2025-10-09,Retail
CUS000209,Aditya Sharma,Ahmedabad,Maharashtra,2024-12-11,Retail
CUS000210,Karan Gupta,Bengaluru,Telangana,2023-05-31,Retail
CUS000211,Vivaan Sharma,Lucknow,Maharashtra,2022-04-27,Enterprise
CUS000212,Ananya Malhotra,Mumbai,Maharashtra,2022-06-26,Enterprise
CUS000213,Rahul Mehta,Lucknow,Delhi,2022-08-16,Enterprise
CUS000214,Rohan Verma,Hyderabad,West Bengal,2025-09-14,Retail
CUS000215,Karan Verma,Ahmedabad,Tamil Nadu,2023-06-12,Retail
CUS000216,Aditya Verma,Pune,Gujarat,2024-03-06,Business
CUS000217,Vivaan Verma,Hyderabad,Delhi,2024-06-21,Retail
CUS000218,Vikram Singh,Lucknow,Gujarat,2023-01-01,Enterprise
CUS000219,Vikram Patel,Delhi,Rajasthan,2024-06-02,Retail
CUS000220,Amit Patel,Kolkata,Telangana,2022-07-31,Retail
CUS000221,Aditya Patel,Lucknow,Telangana,2024-07-02,Retail
CUS000222,Vikram Jain,Pune,Maharashtra,2025-09-23,Business
CUS000223,Neha Jain,Chennai,Gujarat,2025-03-22,Retail
CUS000224,Nikhil Joshi,Kolkata,Gujarat,2024-04-07,Enterprise
CUS000225,Aditya Kapoor,Bengaluru,Maharashtra,2024-02-27,Enterprise
CUS000226,Vikram Patel,Lucknow,Rajasthan,2024-01-06,Business
CUS000227,Ishita Mehta,Pune,Maharashtra,2024-01-19,Enterprise
CUS000228,Kavya Patel,Kolkata,Telangana,2025-08-19,Retail
CUS000229,Rohan Kapoor,Pune,Gujarat,2025-09-15,Retail
CUS000230,Ishita Mehta,Mumbai,Tamil Nadu,2024-09-23,Retail
CUS000231,Karan Singh,Delhi,Maharashtra,2023-01-31,Retail
CUS000232,Simran Singh,Kolkata,Gujarat,2022-05-10,Enterprise
CUS000233,Ishita Joshi,Jaipur,West Bengal,2022-02-03,Retail
CUS000234,Kavya Sharma,Chennai,Maharashtra,2024-04-10,Retail
CUS000235,Ananya Kapoor,Kolkata,Rajasthan,2022-11-02,Enterprise
CUS000236,Simran Singh,Mumbai,Maharashtra,2022-10-17,Business
CUS000237,Aarav Joshi,Lucknow,Maharashtra,2023-05-13,Enterprise
CUS000238,Rahul Sharma,Delhi,Maharashtra,2023-09-22,Retail
CUS000239,Karan Malhotra,Delhi,Uttar Pradesh,2022-05-11,Retail
CUS000240,Arjun Joshi,Lucknow,Uttar Pradesh,2023-03-28,Retail
CUS000241,Ananya Mehta,Chennai,Gujarat,2023-10-27,Retail
CUS000242,Simran Kapoor,Delhi,Tamil Nadu,2023-03-13,Retail
CUS000243,Simran Jain,Chennai,Maharashtra,2022-09-05,Business
CUS000244,Rahul Mehta,Delhi,Tamil Nadu,2025-02-07,Retail
CUS000245,Karan Singh,Lucknow,Maharashtra,2022-10-01,Retail
CUS000246,Amit Mehta,Delhi,Maharashtra,2024-09-24,Retail
CUS000247,Aarav Sharma,Delhi,Maharashtra,2025-12-18,Enterprise
CUS000248,Simran Verma,Ahmedabad,West Bengal,2025-11-18,Retail
CUS000249,Ananya Jain,Hyderabad,Rajasthan,2024-07-11,Business
CUS000250,Priya Jain,Lucknow,Maharashtra,2025-05-06,Retail
CUS000251,Vikram Malhotra,Mumbai,Telangana,2023-12-14,Business
CUS000252,Aarav Kapoor,Bengaluru,Karnataka,2022-08-29,Enterprise
CUS000253,Arjun Malhotra,Chennai,Rajasthan,2024-11-05,Retail
CUS000254,Karan Singh,Hyderabad,Maharashtra,2023-02-01,Retail
CUS000255,Rahul Joshi,Kolkata,Delhi,2022-11-24,Enterprise
CUS000256,Vivaan Sharma,Chennai,Telangana,2023-03-06,Business
CUS000257,Neha Gupta,Lucknow,West Bengal,2022-03-30,Retail
CUS000258,Vivaan Kapoor,Delhi,Delhi,2022-03-01,Business
CUS000259,Nikhil Patel,Mumbai,Karnataka,2026-01-17,Business
CUS000260,Simran Malhotra,Chennai,Gujarat,2023-02-12,Enterprise
CUS000261,Kavya Singh,Mumbai,Tamil Nadu,2023-04-12,Retail
CUS000262,Priya Mehta,Bengaluru,Gujarat,2023-03-28,Retail
CUS000263,Vikram Malhotra,Kolkata,Maharashtra,2024-06-11,Retail
CUS000264,Ananya Malhotra,Kolkata,Delhi,2024-03-04,Business
CUS000265,Rahul Joshi,Bengaluru,Tamil Nadu,2023-07-07,Retail
CUS000266,Kavya Jain,Pune,Uttar Pradesh,2022-05-03,Business
CUS000267,Rahul Patel,Kolkata,West Bengal,2024-05-06,Retail
CUS000268,Kavya Singh,Hyderabad,Uttar Pradesh,2022-11-18,Enterprise
CUS000269,Amit Jain,Lucknow,Rajasthan,2023-04-16,Retail
CUS000270,Aisha Kapoor,Kolkata,Karnataka,2025-04-26,Business
CUS000271,Karan Verma,Pune,Gujarat,2023-05-21,Retail
CUS000272,Kavya Mehta,Lucknow,Karnataka,2025-04-26,Retail
CUS000273,Simran Sharma,Ahmedabad,Maharashtra,2022-03-24,Business
CUS000274,Nikhil Sharma,Ahmedabad,Rajasthan,2024-03-18,Business
CUS000275,Arjun Joshi,Kolkata,Karnataka,2022-06-20,Enterprise
CUS000276,Aarav Mehta,Bengaluru,Delhi,2024-01-05,Business
CUS000277,Priya Patel,Pune,West Bengal,2025-10-02,Business
CUS000278,Rohan Joshi,Lucknow,Uttar Pradesh,2022-02-19,Business
CUS000279,Karan Jain,Ahmedabad,Delhi,2024-01-29,Enterprise
CUS000280,Karan Sharma,Mumbai,Gujarat,2025-11-15,Business
CUS000281,Nikhil Sharma,Hyderabad,Gujarat,2023-07-07,Enterprise
CUS000282,Amit Kapoor,Lucknow,Karnataka,2025-11-03,Retail
CUS000283,Amit Gupta,Pune,Rajasthan,2025-10-13,Business
CUS000284,Vivaan Patel,Ahmedabad,Tamil Nadu,2024-08-11,Enterprise
CUS000285,Vivaan Gupta,Chennai,Delhi,2025-08-20,Enterprise
CUS000286,Aditya Kapoor,Bengaluru,Delhi,2023-11-17,Retail
CUS000287,Pooja Patel,Kolkata,Uttar Pradesh,2025-12-10,Retail
CUS000288,Priya Gupta,Chennai,Telangana,2024-10-28,Enterprise
CUS000289,Aisha Verma,Pune,Maharashtra,2024-02-03,Business
CUS000290,Karan Joshi,Jaipur,Rajasthan,2022-09-09,Business
CUS000291,Pooja Kapoor,Hyderabad,West Bengal,2025-06-25,Business
CUS000292,Aditya Singh,Kolkata,Maharashtra,2022-06-14,Business
CUS000293,Rohan Verma,Mumbai,Maharashtra,2022-12-04,Business
CUS000294,Arjun Jain,Kolkata,Delhi,2023-02-23,Enterprise
CUS000295,Aarav Verma,Ahmedabad,Rajasthan,2022-09-28,Business
CUS000296,Meera Mehta,Kolkata,Maharashtra,2023-08-21,Retail
CUS000297,Aditya Sharma,Bengaluru,Rajasthan,2025-08-13,Business
CUS000298,Aisha Malhotra,Chennai,Tamil Nadu,2024-09-22,Enterprise
CUS000299,Nikhil Kapoor,Kolkata,West Bengal,2023-09-15,Enterprise
CUS000300,Rahul Verma,Delhi,Telangana,2023-04-10,Business
CUS000301,Meera Verma,Pune,Delhi,2023-12-25,Business
CUS000302,Karan Jain,Lucknow,Delhi,2025-12-28,Enterprise
CUS000303,Ishita Jain,Delhi,Delhi,2022-11-27,Retail
CUS000304,Arjun Sharma,Chennai,Uttar Pradesh,2022-09-17,Business
CUS000305,Neha Gupta,Delhi,Karnataka,2025-02-25,Enterprise
CUS000306,Vivaan Gupta,Chennai,Delhi,2024-02-03,Business
CUS000307,Pooja Jain,Jaipur,Telangana,2022-09-06,Retail
CUS000308,Sneha Joshi,Delhi,West Bengal,2023-10-18,Retail
CUS000309,Aarav Kapoor,Jaipur,Tamil Nadu,2025-08-18,Enterprise
CUS000310,Ishita Joshi,Hyderabad,Uttar Pradesh,2025-09-27,Retail
CUS000311,Simran Joshi,Chennai,Maharashtra,2026-02-07,Business
CUS000312,Vivaan Jain,Jaipur,Maharashtra,2023-09-23,Retail
CUS000313,Sneha Malhotra,Bengaluru,West Bengal,2024-01-02,Retail
CUS000314,Kavya Sharma,Lucknow,Karnataka,2025-04-09,Enterprise
CUS000315,Priya Verma,Bengaluru,Maharashtra,2022-06-21,Enterprise
CUS000316,Karan Patel,Jaipur,Gujarat,2023-02-03,Business
CUS000317,Kavya Malhotra,Lucknow,Rajasthan,2022-04-25,Enterprise
CUS000318,Meera Mehta,Delhi,Gujarat,2024-01-28,Business
CUS000319,Meera Sharma,Hyderabad,Tamil Nadu,2023-12-21,Business
CUS000320,Karan Kapoor,Mumbai,Karnataka,2026-01-30,Business
CUS000321,Aisha Joshi,Hyderabad,Delhi,2026-01-30,Business
CUS000322,Aisha Jain,Lucknow,Uttar Pradesh,2022-06-26,Retail
CUS000323,Ananya Verma,Kolkata,Rajasthan,2023-11-18,Retail
CUS000324,Simran Mehta,Mumbai,Maharashtra,2024-04-18,Enterprise
CUS000325,Neha Mehta,Delhi,Rajasthan,2024-08-04,Enterprise
CUS000326,Simran Jain,Bengaluru,Delhi,2024-02-21,Business
CUS000327,Pooja Joshi,Pune,Telangana,2025-04-13,Business
CUS000328,Vikram Kapoor,Kolkata,Karnataka,2022-02-24,Retail
CUS000329,Rahul Verma,Hyderabad,West Bengal,2022-09-12,Enterprise
CUS000330,Ishita Mehta,Delhi,West Bengal,2025-11-09,Enterprise
CUS000331,Priya Sharma,Mumbai,Telangana,2024-10-06,Retail
CUS000332,Amit Gupta,Lucknow,West Bengal,2025-03-04,Business
CUS000333,Neha Joshi,Mumbai,Tamil Nadu,2024-11-15,Enterprise
CUS000334,Simran Sharma,Hyderabad,Delhi,2025-04-06,Retail
CUS000335,Rahul Gupta,Kolkata,Delhi,2024-01-02,Retail
CUS000336,Vivaan Verma,Chennai,Gujarat,2025-07-27,Business
CUS000337,Vivaan Verma,Hyderabad,Rajasthan,2025-08-01,Retail
CUS000338,Nikhil Singh,Delhi,Maharashtra,2025-05-11,Retail
CUS000339,Pooja Gupta,Chennai,Telangana,2023-07-10,Enterprise
CUS000340,Meera Patel,Jaipur,Uttar Pradesh,2023-12-22,Retail
CUS000341,Aarav Jain,Jaipur,Telangana,2024-02-03,Business
CUS000342,Aisha Gupta,Delhi,Maharashtra,2023-03-23,Retail
CUS000343,Nikhil Singh,Bengaluru,Rajasthan,2025-06-10,Enterprise
CUS000344,Nikhil Kapoor,Jaipur,Maharashtra,2024-05-04,Business
CUS000345,Aditya Patel,Delhi,Maharashtra,2024-09-09,Business
CUS000346,Ishita Gupta,Delhi,West Bengal,2025-05-08,Enterprise
CUS000347,Kavya Jain,Hyderabad,Maharashtra,2022-08-31,Retail
CUS000348,Rahul Jain,Bengaluru,Telangana,2022-09-14,Retail
CUS000349,Rahul Patel,Ahmedabad,Maharashtra,2022-06-09,Retail
CUS000350,Vikram Mehta,Pune,Karnataka,2022-08-09,Retail
CUS000351,Nikhil Malhotra,Pune,West Bengal,2022-09-01,Business
CUS000352,Vivaan Patel,Hyderabad,Maharashtra,2022-07-17,Retail
CUS000353,Amit Singh,Lucknow,Karnataka,2023-01-14,Enterprise
CUS000354,Meera Sharma,Mumbai,Delhi,2023-07-23,Enterprise
CUS000355,Meera Gupta,Delhi,Rajasthan,2026-02-01,Enterprise
CUS000356,Priya Kapoor,Lucknow,Maharashtra,2022-07-22,Enterprise
CUS000357,Aarav Kapoor,Bengaluru,Karnataka,2023-08-01,Retail
CUS000358,Pooja Sharma,Mumbai,Karnataka,2024-10-29,Enterprise
CUS000359,Vikram Gupta,Lucknow,Delhi,2024-06-19,Enterprise
